Total signal evaluations on June 26: 210

Time (UTC)           | Coin | Sent | Sent Score | Conf   | Source          | Missed Reason        | Matched Event                                     
2026-06-26 12:00:10  | DOGE | UP   | 0.8800     | 0.8800 | EnsembleML      | N/A                  | Dogecoin Up or Down - June 26, 8:00AM-8:15AM ET   
2026-06-26 12:00:16  | SOL  | UP   | 0.7700     | 0.7700 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:00:16  | XRP  | UP   | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:00:17  | ETH  | UP   | 0.8267     | 0.8267 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 8:00AM-8:15AM ET   
2026-06-26 12:00:32  | ETH  | UP   | 0.5767     | 0.5767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:05:24  | BTC  | UP   | 0.6513     | 0.6513 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:15:10  | XRP  | UP   | 0.6500     | 0.6500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:15:11  | ETH  | UP   | 0.7567     | 0.7567 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 8:15AM-8:30AM ET   
2026-06-26 12:15:17  | DOGE | UP   | 0.7500     | 0.7500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:20:09  | BTC  | UP   | 0.7571     | 0.7571 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 8:20AM-8:25AM ET    
2026-06-26 12:25:33  | ETH  | UP   | 0.7822     | 0.7822 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 8:25AM-8:30AM ET   
2026-06-26 12:30:17  | XRP  | DOWN | 0.6855     | 0.6855 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:35:08  | BTC  | DOWN | 0.8500     | 0.8500 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 8:35AM-8:40AM ET    
2026-06-26 12:40:18  | XRP  | DOWN | 0.7163     | 0.7163 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:55:54  | SOL  | DOWN | 0.6597     | 0.6597 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 13:00:32  | SOL  | DOWN | 0.5574     | 0.5574 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 13:00:33  | SOL  | DOWN | 0.7202     | 0.7202 | EnsembleML      | N/A                  | Solana Up or Down - June 26, 9:00AM-9:05AM ET     
2026-06-26 13:05:24  | BTC  | DOWN | 0.7223     | 0.7223 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 13:15:17  | XRP  | UP   | 0.6580     | 0.6580 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 13:45:17  | SOL  | DOWN | 0.6501     | 0.6501 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 13:45:18  | SOL  | DOWN | 0.6527     | 0.6527 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 13:50:24  | BTC  | DOWN | 0.5526     | 0.5526 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 13:55:17  | ETH  | UP   | 0.8052     | 0.8052 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
